# Korean line of data/*.xml and data/lua/*.lua <TAB> English line. Applied by data_apply.pl.
\t\t<Title>진화의 고리</Title>	\t\t<Title>Ring of Evolution</Title>
\t\t<Script sender="테리">긴급상황입니다. 저는 EVE본부 소속 "테리"입니다. 지금 빨리 길드 본부로의 귀환을 명합니다. 귀관께 특별 임무가 하달되었습니다. 자세한 내용은 말씀드릴 수 없습니다만 조속한 귀환을 바랍니다. 현재 상황 어떻습니까? 가능합니까?</Script>	\t\t<Script sender="Terry">This is an emergency. I am "Terry" of EVE Headquarters. You are ordered to return to guild headquarters at once. A special mission has been handed down to you. I cannot give you the details, but please return as soon as possible. What is your situation? Can you make it?</Script>
\t\t\t<SayNPC name="테리" target="302" index="1">테리에게 말을 건다.</SayNPC>	\t\t\t<SayNPC name="Terry" target="302" index="1">Talk to Terry</SayNPC>
\t\t\t<Script sender="테리" target="302" index="2">지금부터 제 말을 잘 들으십시오. 이는 어디까지나 상부의 명령이며 자세한 내용은 저도 잘 알지 못합니다. 이는 극비 임무이며 절대 누설되어서는 안됩니다. 아시겠습니까?</Script>	\t\t\t<Script sender="Terry" target="302" index="2">Listen carefully to what I am about to tell you. These are orders from above, and I do not know the details myself. This is a top-secret mission and must never be leaked. Do you understand?</Script>
\t\t\t<Script sender="테리" targetitem="21" index="3">이것을 받으십시오. 임무는 단지 이것을 전달하기만 하면 됩니다. 매우 쉽게 들리겠지만 이 문서를 림보성 내부에 있는 뱀파이어 레베카에게 전해야 하는 게 문제입니다. 물론 뱀파이어 성에 칩입할 수 있도록 조치를 취한 상태이니 큰 걱정은 마십시오. 이 임무는 은밀히 수행해야 하는 만큼 오토바이나 헬기 사용은 금지되어 있으니 이점 명심하시기 바랍니다.</Script>	\t\t\t<Script sender="Terry" targetitem="21" index="3">Take this. All you have to do is deliver it. It sounds easy, but the problem is that this document must go to the vampire Rebecca inside Limbo Castle. Of course, arrangements have been made so that you can get into the vampires' castle, so don't worry too much. Since this mission must be carried out in secret, Motorcycles and Helicopters are forbidden. Please keep that in mind.</Script>
\t\t\t<SayNPC name="레베카" target="255" index="4">림보성 내부에 있는 레베카에게 극비 문서를 전달한다.</SayNPC>	\t\t\t<SayNPC name="Rebecca" target="255" index="4">Deliver the top-secret document to Rebecca inside Limbo Castle</SayNPC>
\t\t\t<Script sender="레베카" target="255" index="5">오느라 수고 많았습니다. 어떤가요? 미천한 인간의 몸으로 아름다운 림보성을 구경하는 기분이….</Script>	\t\t\t<Script sender="Rebecca" target="255" index="5">Thank you for coming all this way. Well? How does it feel for a lowly human to behold the beautiful Limbo Castle...</Script>
\t\t\t<Script sender="레베카" targetitem="22" index="6">전해주신 물건은 잘 받았습니다. 이제 이걸 받아가십시오. 그럼 안녕히…. 또 보게 될 일이 생길지도 모르겠지만요. 호호호호호호호호….</Script>	\t\t\t<Script sender="Rebecca" targetitem="22" index="6">I have received what you brought. Now take this with you. Farewell, then... Though perhaps we shall meet again. Ho ho ho ho ho ho ho ho...</Script>
\t\t\t<SayNPC name="테리" target="302" index="7">에슬라니아 북서에 있는 테리에게 회신 문서를 전한다.</SayNPC>	\t\t\t<SayNPC name="Terry" target="302" index="7">Deliver the reply to Terry in Eslania Northwest</SayNPC>
\t\t\t<Script sender="테리" target="302" index="8">무사히 완수하셨군요. 다행입니다. 조만간 새로운 임무가 주어질지도 모릅니다. 멀지 않은 곳에서 대기해주십시오.</Script>	\t\t\t<Script sender="Terry" target="302" index="8">You made it back safely. What a relief. A new mission may come your way soon. Please stay somewhere close by.</Script>
\t\t<FailMessage sender="테리" target="302">이런. 실패하셨군요. 실마앙~</FailMessage>	\t\t<FailMessage sender="Terry" target="302">Oh dear. You failed. How disappoiiinting.</FailMessage>
\t\t\t<Killed num="1" index="1">수행 중 사망하지 않아야 한다.</Killed>	\t\t\t<Killed num="1" index="1">Do not die during the mission</Killed>
\t\t\t<RideMotorcycle index="2">오토바이 사용 금지</RideMotorcycle>	\t\t\t<RideMotorcycle index="2">No Motorcycles</RideMotorcycle>
\t\t\t<IllegalWarp index="3">헬기 사용 금지</IllegalWarp>	\t\t\t<IllegalWarp index="3">No Helicopters</IllegalWarp>
\t\t<Title>제단의 문</Title>	\t\t<Title>Gate of the Altar</Title>
\t\t<Script sender="테리">EVE본부 소속 "테리"입니다. 귀관께서 공을 세우신 일전의 임무에 대해 상부에서 크게 치하를 하였습니다. 이에 급히 새로운 중요 임무가 내려왔습니다. 아담의 성지 중앙 상층부에 아담의 성지로 통하는 입구가 열렸다고 합니다. 속히 이곳을 조사해주시기 바랍니다. 가능합니까?</Script>	\t\t<Script sender="Terry">This is "Terry" of EVE Headquarters. Command was greatly impressed by your work on the last mission, and an important new mission has been handed down in a hurry. We hear that an entrance has opened in the upper central part of Adam's Holy Land, leading into the heart of the Holy Land. Please investigate it at once. Can you do it?</Script>
\t\t\t<EnterDynamicZone zoneid="4001" index="1">"아담의 성지" 중앙에 있는 "제단의 문"으로 향한다.</EnterDynamicZone>	\t\t\t<EnterDynamicZone zoneid="4001" index="1">Head for the "Gate of the Altar" in the center of "Adam's Holy Land"</EnterDynamicZone>
\t\t\t<ClearDynamicZone zoneid="4001" index="2">시간 내에 몬스터의 피로 "마법진"을 완성하고 내부로 진입할 통로를 찾아야한다.</ClearDynamicZone>	\t\t\t<ClearDynamicZone zoneid="4001" index="2">Complete the "Magic Circle" with monster blood in time and find the way inside</ClearDynamicZone>
\t\t\t<Script sender="테리" target="302" index="3">치직…. 감이 좋지 않군요. 지금 막 입수한… 정보에 의하면…. 치직-. 제단의 문에는 마법진…. 6개의…. 치직, 치지직, 치-.</Script>	\t\t\t<Script sender="Terry" target="302" index="3">Kzzt... The signal is bad. According to... the information we just... received... Kzzt-. At the Gate of the Altar there are magic circles... six of... Kzzt, kz-kzzt, kz-.</Script>
\t\t\t<EnterDynamicZone zoneid="4002" index="4">마법진을 통해 피의 제단으로 들어가야 한다.</EnterDynamicZone>	\t\t\t<EnterDynamicZone zoneid="4002" index="4">Enter the Altar of Blood through the magic circle</EnterDynamicZone>
\t\t\t<Script index="5">추락. '마법진이 발동되자 우리는 깊은 어둠의 나락으로 끝없이 떨어졌다.'</Script>	\t\t\t<Script index="5">Fall. 'When the magic circle activated, we fell endlessly into a deep, dark abyss.'</Script>
\t\t\t<Script index="6">지옥. '수많은 인간과 뱀파이어들의 시체가 산을 이루고, 철벅거리는 핏물의 비릿한 내음이 코를 찔렀다.'</Script>	\t\t\t<Script index="6">Hell. 'The corpses of countless humans and vampires were heaped into mountains, and the rank smell of sloshing blood stung our noses.'</Script>
\t\t\t<Script index="7">제물. '동료들은 영혼을 붙잡힌 채 악귀들의 기괴한 웃음소리 속에서 원망의 눈초리를 보내고 있다.'</Script>	\t\t\t<Script index="7">Sacrifice. 'Our comrades, their souls held captive, stare at us in reproach amid the eerie laughter of fiends.'</Script>
\t\t\t<Script index="8">배신. '이 임무는 우리를 단지 제물로 바치기 위한 함정이었던 것인가? 그럼 그 때의 편지는…. 양 측의 수뇌부가 손을 잡기 위해서….'</Script>	\t\t\t<Script index="8">Betrayal. 'Was this mission only a trap to offer us up as sacrifices? Then that letter back then... so the leaders of both sides could join hands...'</Script>
\t\t\t<Script index="9">의문. '대체 이 많은 제물은 무엇을 위한 것인가?'</Script>	\t\t\t<Script index="9">Doubt. 'What on earth are all these sacrifices for?'</Script>
\t\t\t<ClearDynamicZone zoneid="4002" index="10">몬스터들을 죽여 "생명의 나선"을 얻어라. 이를 이용해 슬레이어들을 구출하라.</ClearDynamicZone>	\t\t\t<ClearDynamicZone zoneid="4002" index="10">Kill monsters to obtain "Life Spirals" and use them to rescue the Slayers</ClearDynamicZone>
\t\t\t<Time limit="120" index="2">%s남은 시간 : %d분</Time>	\t\t\t<Time limit="120" index="2">%sTime left: %d min</Time>
\t\t<Title>아브락사스, 작은 새의 날개 짓</Title>	\t\t<Title>Abraxas, the Flutter of a Small Bird's Wings</Title>
\t\t<Script>"테리"에게 간다. 테리는 "에슬라니아 북서"에 있다.</Script>	\t\t<Script>Go to "Terry". Terry is in "Eslania Northwest".</Script>
\t\t\t<Script index="1">'EVE의 지도층이라는 놈들이 이런 일을 꾸미다니…. 흡혈귀나 다름없는 놈들. 용서할 수 없다.'</Script>	\t\t\t<Script index="1">'To think the so-called leaders of EVE would plot something like this... They are no better than bloodsuckers. I cannot forgive them.'</Script>
\t\t\t<SayNPC name="테리" target="302" index="2">테리에게 말을 건다.</SayNPC>	\t\t\t<SayNPC name="Terry" target="302" index="2">Talk to Terry</SayNPC>
\t\t\t<Script sender="테리" target="302" index="3">임무를 무사히 마치셨군요. 다행입니….</Script>	\t\t\t<Script sender="Terry" target="302" index="3">You completed the mission safely. Thank good...</Script>
\t\t\t<Script sender="테리" target="302" index="4">네? 그런…. 아뇨…. 저는 아무것도….</Script>	\t\t\t<Script sender="Terry" target="302" index="4">What? That's... No... I had nothing to do with...</Script>
\t\t\t<Script sender="테리" target="302" index="5" action="dead" warp="4003">진정하세요. 그러니까….</Script>	\t\t\t<Script sender="Terry" target="302" index="5" action="dead" warp="4003">Calm down. Look, it's...</Script>
\t\t\t<ClearDynamicZone zoneid="4003" index="7">자신의 내면 속에서 "이성의 봉인"을 수호하고 "10분" 동안 생존한다.</ClearDynamicZone>	\t\t\t<ClearDynamicZone zoneid="4003" index="7">Guard the "Sealing of Reason" within your own mind and survive for "10 minutes"</ClearDynamicZone>
\t\t\t<SayNPC name="테리" target="302" index="8">다시 테리에게 말을 건다.</SayNPC>	\t\t\t<SayNPC name="Terry" target="302" index="8">Talk to Terry again</SayNPC>
\t\t<Script sender="쎄쓰">대체 어디 있었던 거야? 내가 몇 번이나 텔레파시를 보냈었는데 이제야 대답하다니…. 원….  뭐야? 벌써 내 목소리도 잊어버린 거야? 나 세쓰라고…. 림보성의 세쓰.  애숭이 땐 좋다는 반지며 목걸이며 다 챙겨줬더니만 어쩜 그럴 수가 있어?  아이구, 내 정신 좀 봐. 아무튼 얼른 나한테 좀 오라고. 마스터께서 중요한 임무가 있대. 올 수 있지? 그리고 올 때 괜찮은 물건 구한 게 있으면 같이 가져오라고….  </Script>	\t\t<Script sender="Seth">Where on earth have you been? I sent you telepathy I don't know how many times, and you only answer now... Honestly...  What? Don't tell me you've already forgotten my voice? It's me, Seth... Seth of Limbo Castle.  When you were a greenhorn I gave you all the good rings and necklaces, and this is how you treat me?  Oh, listen to me ramble. Anyway, come see me right away. The Master has an important mission for you. You can come, right? And if you've picked up anything nice, bring it along...  </Script>
\t\t\t<SayNPC name="쎄쓰" target="219" index="1">쎄쓰에게 말을 건다.</SayNPC>	\t\t\t<SayNPC name="Seth" target="219" index="1">Talk to Seth</SayNPC>
\t\t\t<Script sender="쎄쓰" target="219" index="2">어…. 왔군 왔어. 참 오랜만이야. 어떻게 지냈어, 그래….  그보다 마스터께서 특별 명령을 내리셨어. 비밀리에 수행해야 하니까 비밀을 맹세하라고. 뭐? 나만 조용히 있으면 될 것 같다고? 이런….  </Script>	\t\t\t<Script sender="Seth" target="219" index="2">Oh... You're here, you're here. Long time no see. How've you been, then...  More importantly, the Master has given a special order. It has to be done in secret, so swear to keep it secret. What? As long as I keep quiet it'll be fine? Why, you...  </Script>
\t\t\t<Script sender="쎄쓰" targetitem="23" index="3">자, 이걸 품에 잘 넣어둬. 할 일은 이거 전달하는 것 뿐이야. 쉬울 것 같지만 누구한테 전해야 할 것 같아? 큭큭큭…. 바로 슬레이어들의 대장인 카이저라구.  왜 그자에게 이걸 전달해야 하는지 나한테 묻진 말라구, 나도 그 이윤 모르니까..  그럼 잘 갔다 와. 그리고 행여나 카이저 목을 물어버리는 대담한 짓은 관두라구. 큭큭큭큭….  아, 임무도중 박쥐로 변하거나 씰을 여는 어리석은 행동은 그만두라구.. 자넨 은밀히 임무 수행 하는 중이라는걸 기억하라구..  </Script>	\t\t\t<Script sender="Seth" targetitem="23" index="3">Here, tuck this away safely. All you have to do is deliver it. Sounds easy, but guess who you have to give it to? Heh heh heh... None other than Kaiser, the leader of the Slayers.  Don't ask me why it has to go to him, 'cause I don't know either..  Well, off you go. And don't try anything bold like biting Kaiser's neck. Heh heh heh heh...  Oh, and don't do anything stupid like turning into a bat or opening a Seal during the mission.. Remember, you're on a secret mission..  </Script>
\t\t\t<SayNPC name="카이저" target="17" index="4">에슬라니아 북서에 있는 카이저에게 극비 문서를 전달한다.</SayNPC>	\t\t\t<SayNPC name="Kaiser" target="17" index="4">Deliver the top-secret document to Kaiser in Eslania Northwest</SayNPC>
\t\t\t<Script sender="카이저" target="17" index="5">크흠…. 이것인가? 허튼 짓 말고 거기 얌전히 있도록.</Script>	\t\t\t<Script sender="Kaiser" target="17" index="5">Hmph... Is this it? No funny business. Stay right where you are.</Script>
\t\t\t<Script sender="카이저" targetitem="24" index="6">음…. 좋아. 이걸 가져가라. 길 조심해서 돌아가도록. 그리고 다음엔 날 만나는 일은 없도록 해라. 상체와 하체가 따로 놀게 될지도 모르니까.</Script>	\t\t\t<Script sender="Kaiser" targetitem="24" index="6">Hmm... Good. Take this. Watch yourself on the way back. And make sure you never run into me again, or your top half and bottom half may end up going separate ways.</Script>
\t\t\t<SayNPC name="쎄쓰" target="219" index="7">림보성 내부에 있는 쎄쓰에게 회신 문서를 전한다.</SayNPC>	\t\t\t<SayNPC name="Seth" target="219" index="7">Deliver the reply to Seth inside Limbo Castle</SayNPC>
\t\t\t<Script sender="쎄쓰" target="219" index="8">그래…. 왔군, 왔어. 그건 이리 줘. 수고 많았어.  조만간 마스터께서 또 무슨 명령을 내리실지 몰라. 기다리고 있으라구.  </Script>	\t\t\t<Script sender="Seth" target="219" index="8">Right... You're back, you're back. Hand that over. Nice work.  The Master may give another order soon. Stay ready.  </Script>
\t\t<FailMessage sender="쎄쓰" target="219">이런. 실패했군. 바보~</FailMessage>	\t\t<FailMessage sender="Seth" target="219">Tsk. You failed. Dummy.</FailMessage>
\t\t\t<IllegalWarp index="2">씰 사용 금지</IllegalWarp>	\t\t\t<IllegalWarp index="2">No Seals</IllegalWarp>
\t\t\t<RideMotorcycle index="3">박쥐 변신 금지</RideMotorcycle>	\t\t\t<RideMotorcycle index="3">No bat transformation</RideMotorcycle>
\t\t<Script sender="쎄쓰">나야, 세쓰. 들리지? 호호호호호. 알어? 마스터께서 아주 기뻐하셨어. 아, 그 일전에 명령 내리신 것을 잘 수행했다고 칭찬이 자자했지.  근데 말이야 급히 또 새로운 명령을 내리시지 뭐야. 아담의 성지 알지? 거기 중앙 상층부에 아담의 성지로 통하는 입구가 열렸대. 지금 갈 거지?  </Script>	\t\t<Script sender="Seth">It's me, Seth. You hear me? Ho ho ho ho ho. Guess what? The Master was very pleased. Everyone's praising how well you carried out that order the other day.  But listen, he's gone and handed down another new order in a hurry. You know Adam's Holy Land? An entrance has opened in its upper central part, leading into the heart of the Holy Land. You're going now, right?  </Script>
\t\t\t<Script sender="쎄쓰" target="219" index="3">이봐, 이봐. 몇 번을 불렀는지… 알아? 윙- 윙-. 지금 막 입수한… 정보에 의하면…. 위잉-. 제단의 문에는 마법진…. 6개의…. 위위윙윙윙-.</Script>	\t\t\t<Script sender="Seth" target="219" index="3">Hey, hey. Do you know how many times I've called you...? Bzz- bzz-. According to... the information we just... received... Bzzz-. At the Gate of the Altar there are magic circles... six of... Bzz-bzz-bzzzz-.</Script>
\t\t\t<Script index="7">제물. '함께 들어왔던 동지들은 영혼을 붙잡힌 채 악귀들의 기괴한 웃음소리 속에서 원망의 눈초리를 보내고 있다.'</Script>	\t\t\t<Script index="7">Sacrifice. 'The comrades who came in with us, their souls held captive, stare at us in reproach amid the eerie laughter of fiends.'</Script>
\t\t\t<ClearDynamicZone zoneid="4002" index="10">몬스터들을 죽여 "생명의 나선"을 얻어라. 이를 이용해 제물이 된 뱀파이어들을 구출하라.</ClearDynamicZone>	\t\t\t<ClearDynamicZone zoneid="4002" index="10">Kill monsters to obtain "Life Spirals" and use them to rescue the Vampires offered as sacrifices</ClearDynamicZone>
\t\t<Script>"쎄쓰"에게 간다. 쎄쓰는 "림보성 내부"에 있다.</Script>	\t\t<Script>Go to "Seth". Seth is "Inside Limbo Castle".</Script>
\t\t\t<Script index="1">'뱀파이어를 이끄는 마스터라는 자들이 일족의 피를 파는 짓이나 하다니…. 용서할 수 없다.'</Script>	\t\t\t<Script index="1">'So the so-called Masters who lead the Vampires would sell out the blood of their own kind... I cannot forgive them.'</Script>
\t\t\t<SayNPC name="쎄쓰" target="219" index="2">쎄쓰에게 말을 건다.</SayNPC>	\t\t\t<SayNPC name="Seth" target="219" index="2">Talk to Seth</SayNPC>
\t\t\t<Script sender="쎄쓰" target="219" index="3">아이구, 힘들었지? 그래 얼굴이 다….</Script>	\t\t\t<Script sender="Seth" target="219" index="3">Oh my, that must have been rough, huh? Look at your face, it's all...</Script>
\t\t\t<Script sender="쎄쓰" target="219" index="4">뭐? 그런…. 아냐, 아냐…. 나는 아무것도….</Script>	\t\t\t<Script sender="Seth" target="219" index="4">What? That's... No, no... I had nothing to do with...</Script>
\t\t\t<Script sender="쎄쓰" target="219" index="5" action="dead" warp="4004">진정하라니까…. 그게 말야….</Script>	\t\t\t<Script sender="Seth" target="219" index="5" action="dead" warp="4004">I said calm down... It's just that...</Script>
\t\t\t<ClearDynamicZone zoneid="4004" index="7">자신의 내면 속에서 "이성의 봉인"을 수호하고 "10분" 동안 생존한다.</ClearDynamicZone>	\t\t\t<ClearDynamicZone zoneid="4004" index="7">Guard the "Sealing of Reason" within your own mind and survive for "10 minutes"</ClearDynamicZone>
\t\t\t<SayNPC name="쎄쓰" target="219" index="8">다시 쎄쓰에게 말을 건다.</SayNPC>	\t\t\t<SayNPC name="Seth" target="219" index="8">Talk to Seth again</SayNPC>
\t\t<Script sender="호라">저는 아우스터즈 마을의 호라. 정령의 힘을 빌어 당신께 메시지를 전합니다.  라비니아 님이 시급한 일이 있다고 합니다. 얼른 마을로 돌아와주십시오.  자세한 내용은 지금 말씀드릴 수 없습니다. 다시 한번 말씀 드리지만 긴급한 일입니다. 당신이 꼭 필요해요. 와주시겠습니까?  </Script>	\t\t<Script sender="Hora">I am Hora of the Ousters Village. I send you this message through the power of the spirits.  Lady Lavinia says there is an urgent matter. Please return to the village quickly.  I cannot tell you the details now. Let me say it once more: this is urgent. We truly need you. Will you come?  </Script>
\t\t\t<SayNPC name="호라" target="658" index="1">호라에게 말을 건다.</SayNPC>	\t\t\t<SayNPC name="Hora" target="658" index="1">Talk to Hora</SayNPC>
\t\t\t<Script sender="호라" target="658" index="2">와주셨군요. 감사합니다. 당신께 물의 정령 엘라임의 순결한 마음과 축복이 함께하기를 기원합니다.  당신에게 주어진 중요한 비밀 임무가 있습니다.  </Script>	\t\t\t<Script sender="Hora" target="658" index="2">You came. Thank you. May the pure heart and blessing of Elaim, the water spirit, be with you.  An important secret mission awaits you.  </Script>
