드레이크	Drake
스파르탄	Spartan
싱	Singh
尤娃	Nuwa
여와	Nuwa
쟌	Jean
扎克	Jacques
자크	Jacques
凯泽	Kaiser
카이저	Kaiser
카인	Cain
凯文	Kevin
케빈	Kevin
克里斯	Chris
크리스	Chris
크리스틴	Christine
크라이프	Kreif
볶	Han
한	Han
한니발	Hannibal
塔娜	Tanya
타냐	Tanya
戴维	David
데이비드	David
브리콜라카스	Vrykolakas
카파티니	Carpatini
발레리	Valerie
그루버	Gruber
며쨀껍	Gruber
그리픈	Griffin
山德拉	Sandra
산드라	Sandra
沙拉曼德	Salamander
살라맨더	Salamander
索尼亚	Sonya
소냐	Sonya
西哈拉	Yoshihara
요시하라	Yoshihara
约翰娜	Johan
요한	Johan
크로우	Crow
스미스	Smith
司马尔罗维奇	Smirovich
스마이로비치	Smirovich
杰克	Jack
잭	Jack
赫斯布罗	Hasbro
하스브로	Hasbro
可南	Conan
코난	Conan
프레드릭	Frederick
예브게니	Yevgeny
니콜라이	Nikolai
리차드슨	Richardson
샤모르	Chamor
라흐마노프	Rachmaninov
스토야노프	Stoyanov
쎄쓰	Seth
카콘	Kakon
迈特	Matthew
매튜	Matthew
스킵	Skip
바룬	Barun
헌트	Hunt
레베카	Rebecca
야마모토	Yamamoto
데니스	Dennis
마크	Mark
존	John
리사	Lisa
特里	Terry
테리	Terry
南西	Nancy
낸시	Nancy
파비안	Fabian
제프	Jeff
奥塔乌斯分身1	Octavus Helper 1
赛普蒂默斯分身1	Septimus Helper 1
옥타부스도우미1	Octavus Helper 1
赛普蒂默斯分身2	Septimus Helper 2
옥타부스도우미2	Octavus Helper 2
트리스탄	Tristan
엘렌	Ellen
패트리샤	Patricia
아그네	Agnes
아이만	Aiman
카임	Caim
프리야	Priya
라르바	Larva
레이븐	Raven
格丽皮斯	Griffith
그리피스	Griffith
洛宾	Robin
로빈	Robin
머피	Murphy
카르멘	Carmen
마리	Marie
몰록	Moloch
베아트릭스	Beatrix
아일린	Eileen
아미	Amy
알렌	Allen
주디스	Judith
헤롤드	Harold
브렌다	Brenda
시모네	Simone
프라오로스	Praoros
아리오크	Arioch
파프니르	Fafnir
이모르탈러티	Immortality
拉维亚	Lavinia
라비니아	Lavinia
利特	Ripati
리파티	Ripati
마네스쿠	Manescu
索拉	Sioram
시오람	Sioram
阿马塔	Amata
아마타	Amata
郝拉	Hora
호라	Hora
피스케이트	Piscate
미네센스	Minescence
레프리	Lepri
엘루니아	Elunia
이그니엄	Ignium
나이샤스	Naishas
니트리샤	Nitrisha
로와	Rowa
括塔斯分身1	Quartus Helper 1
赛特瑞斯分身1	Tertius Helper 1
테르티우스도우미1	Tertius Helper 1
括塔斯分身2	Quartus Helper 2
赛特瑞斯分身2	Tertius Helper 2
테르티우스도우미2	Tertius Helper 2
彭塔努斯分身1	Pentanus Helper 1
海克西里乌斯分身1	Hexserius Helper 1
펜타누스도우미1	Pentanus Helper 1
彭塔努斯分身2	Pentanus Helper 2
海克西里乌斯分身2	Hexserius Helper 2
펜타누스도우미2	Pentanus Helper 2
미클리즈	Mikliz
아르고나스	Argonas
벨레고스트	Belegost
에아	Ea
훈련소교관	Training Camp Instructor
곤베네스	Gonbenis
베르나도	Bernado
移댁씠��	Kaiser
건달	Thug
게리	Gary
나탈리	Natalie
도우미	Assistant
랄프	Ralph
리파티실피드	Ripati Sylphid
브랜다	Branda
브렌다.	Brenda
블라드 테페즈	Vlad Tepes
생선가게주인	Fishmonger
아마타셀리온	Amata Selion
양아치	Punk
에드	Ed
에르체베트 바토리	Erzsebet Bathory
요코	Yoko
조나단	Jonathan
칼	Karl
캐롤	Carol
커피숍주인	Coffee Shop Owner
켄	Ken
키키	Kiki
테페즈	Tepes
폴	Paul
할머니	Old Woman
�뀒由�	Terry
�럡�벐	Seth
�샇�씪	Hora
�씪瑜대컮	Larva
�젅踰좎뭅	Rebecca
